region,season,quadrat,species,sex,stage,is_gravid,carapace_width,carapace_length,front_width,left_claw_length,right_claw_length
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,27,21,17,9,14
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,18,14,10,10,8
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,24,18,12,14,15
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,24,19,12,11,14
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,25,20,17,13,19
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,26,21,12,8,15
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,18,15,12,7,11
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,21,16,17,12,11
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,29,23,13,14,21
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,23,19,17,11,10
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,19,16,10,12,13
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,28,21,15,18,16
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,19,15,11,13,10
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,29,23,15,19,17
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,28,22,13,19,15
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,19,16,14,10,8
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,27,21,12,14,19
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,23,18,18,8,12
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,19,15,14,9,7
Ria Formosa,summer,1,Afruca farensis,NA,juvenile,FALSE,28,24,13,14,12
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,21,17,12,11,10
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,21,16,9,9,11
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,22,17,16,10,11
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,23,18,18,10,11
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,21,17,13,8,5
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,23,18,13,12,9
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,17,14,12,10,7
Ria Formosa,summer,1,Afruca farensis,male,juvenile,FALSE,19,15,12,9,11
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,38,30,19,21,20
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,28,22,17,18,8
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,26,20,16,12,15
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,31,24,24,20,16
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,23,18,13,13,8
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,28,23,16,19,14
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,24,18,10,11,9
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,36,28,27,20,19
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,34,27,18,17,19
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,28,22,18,14,19
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,29,23,15,19,14
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,28,22,21,13,10
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,24,20,15,5,13
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,35,27,17,14,17
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,32,25,17,12,14
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,25,20,16,14,8
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,24,19,17,14,12
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,31,23,23,16,16
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,30,24,22,19,14
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,24,19,14,9,11
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,28,22,12,13,11
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,37,29,28,21,24
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,37,29,17,22,17
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,29,23,22,19,18
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,26,20,11,14,9
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,28,22,22,11,12
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,28,21,15,14,15
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,25,20,14,11,12
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,38,30,30,21,15
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,31,24,20,17,13
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,24,19,16,11,8
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,26,20,14,11,13
Ria Formosa,summer,1,Afruca farensis,NA,pre_puberty,FALSE,37,29,15,16,15
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,28,22,24,12,16
Ria Formosa,summer,1,Afruca farensis,male,pre_puberty,FALSE,33,26,23,14,17
Ria Formosa,summer,1,Afruca farensis,male,sub_adult,FALSE,54,41,22,23,63
Ria Formosa,summer,1,Afruca farensis,male,sub_adult,FALSE,56,43,28,26,79
Ria Formosa,summer,1,Afruca farensis,male,sub_adult,FALSE,42,33,26,21,62
